sentence,start_index,stop_index
Je veux aller de Grenoble à Bordeaux.,"(17, 25)","(28, 36)"
Aventure de Caen à Limoges.,"(12, 16)","(19, 26)"
Je commence mon périple à Amiens pour finir à Reims.,"(26, 32)","(46, 51)"
Je commence mon périple à Paris pour finir à Lyon.,"(26, 31)","(45, 49)"
Mon itinéraire est de Rouen à Paris.,"(22, 27)","(30, 35)"
Je prévois de voyager de Bordeaux à Le Havre.,"(25, 33)","(36, 44)"
Je compte quitter Aix-en-Provence pour Amiens.,"(18, 33)","(39, 45)"
Escapade de Dijon à Orléans.,"(12, 17)","(20, 27)"
Périples de Dijon à Orléans.,"(12, 17)","(20, 27)"
Mon itinéraire est de Nice à Villeurbanne.,"(22, 26)","(29, 41)"
Je quitte Boulogne-Billancourt pour Toulon.,"(10, 30)","(36, 42)"
Escapade de Saint-Paul à Angers.,"(12, 22)","(25, 31)"
Départ de Avignon à Clermont-Ferrand.,"(10, 17)","(20, 36)"
Départ de Dunkerque à Reims.,"(10, 19)","(22, 27)"
Trajet initial de Clermont-Ferrand en direction de Lille.,"(18, 34)","(51, 56)"
Périples de Toulon à Saint-Étienne.,"(12, 18)","(21, 34)"
Périples de Avignon à Boulogne-Billancourt.,"(12, 19)","(22, 42)"
Je vais partir de Boulogne-Billancourt à destination de Amiens.,"(18, 38)","(56, 62)"
Je dois effectuer le trajet de Clermont-Ferrand à Saint-Denis.,"(31, 47)","(50, 61)"
Je vais de Nîmes à Limoges.,"(11, 16)","(19, 26)"
Je souhaite me rendre de Le Mans à Dijon.,"(25, 32)","(35, 40)"
Mon départ est prévu de Angers à destination de Toulon.,"(24, 30)","(48, 54)"
Périples de Rennes à Reims.,"(12, 18)","(21, 26)"
Je planifie un trajet de Tourcoing à Vitry-sur-Seine.,"(25, 34)","(37, 52)"
Je suis en route de Avignon vers Boulogne-Billancourt.,"(20, 27)","(33, 53)"
Périples de Nîmes à Le Havre.,"(12, 17)","(20, 28)"
Je planifie de me déplacer de Reims vers Toulon.,"(30, 35)","(41, 47)"
Je suis en route de Saint-Étienne vers Grenoble.,"(20, 33)","(39, 47)"
Je quitte Avignon pour Besançon.,"(10, 17)","(23, 31)"
Départ de Caen à Roubaix.,"(10, 14)","(17, 24)"
Odyssée depuis Metz en direction de Nouméa.,"(15, 19)","(36, 42)"
Départ de Le Havre pour un voyage direct à Nîmes.,"(10, 18)","(43, 48)"
Je dois effectuer le trajet de Limoges à Aix-en-Provence.,"(31, 38)","(41, 56)"
Voyage sans escale de Rennes à Saint-Étienne.,"(22, 28)","(31, 44)"
Je dois effectuer le trajet de Annecy à Nice.,"(31, 37)","(40, 44)"
Je compte quitter Dunkerque pour Clermont-Ferrand.,"(18, 27)","(33, 49)"
Trajet initial de Villeurbanne en direction de Avignon.,"(18, 30)","(47, 54)"
Parti de Strasbourg pour atteindre Tourcoing.,"(9, 19)","(35, 44)"
Périples de Caen à Montpellier.,"(12, 16)","(19, 30)"
Je pars de Angers pour arriver à Lille.,"(11, 17)","(33, 38)"
Mon itinéraire est de Lille à Marseille.,"(22, 27)","(30, 39)"
Mon départ est prévu de Le Havre à destination de Rouen.,"(24, 32)","(50, 55)"
Je vais de Roubaix à Lyon.,"(11, 18)","(21, 25)"
Je vais partir de Créteil à destination de Besançon.,"(18, 25)","(43, 51)"
Je prévois de voyager de Rouen à Montreuil.,"(25, 30)","(33, 42)"
Parti de Boulogne-Billancourt pour atteindre Angers.,"(9, 29)","(45, 51)"
Je planifie de me déplacer de Saint-Denis vers Nancy.,"(30, 41)","(47, 52)"
Périples de Montpellier à Mulhouse.,"(12, 23)","(26, 34)"
Mon itinéraire est de Clermont-Ferrand à Nîmes.,"(22, 38)","(41, 46)"
Trajet initial de Paris en direction de Montreuil.,"(18, 23)","(40, 49)"
Il est prévu que je me rende de Boulogne-Billancourt à Toulon.,"(32, 52)","(55, 61)"
Il est prévu que je me rende de Lyon à Le Mans.,"(32, 36)","(39, 46)"
Mon voyage débute à Annecy et se termine à Brest.,"(20, 26)","(43, 48)"
Je commence mon périple à Argenteuil pour finir à Le Havre.,"(26, 36)","(50, 58)"
Je quitte Amiens pour Rennes.,"(10, 16)","(22, 28)"
Je dois effectuer le trajet de Paris à Créteil.,"(31, 36)","(39, 46)"
Je pars de Saint-Denis pour arriver à Mulhouse.,"(11, 22)","(38, 46)"
Je prévois de voyager de Le Mans à Montreuil.,"(25, 32)","(35, 44)"
Je vais de Angers à Dijon.,"(11, 17)","(20, 25)"
Je planifie de me déplacer de Montpellier vers Limoges.,"(30, 41)","(47, 54)"
Aventure de Montpellier à Limoges.,"(12, 23)","(26, 33)"
Odyssée depuis Perpignan en direction de Toulouse.,"(15, 24)","(41, 49)"
Je prévois de voyager de Brest à Rennes.,"(25, 30)","(33, 39)"
Mon itinéraire est de Lyon à Rouen.,"(22, 26)","(29, 34)"
Départ de Poitiers pour un voyage direct à Brest.,"(10, 18)","(43, 48)"
Je compte quitter Saint-Étienne pour Argenteuil.,"(18, 31)","(37, 47)"
Il est prévu que je me rende de Lille à Le Havre.,"(32, 37)","(40, 48)"
J'envisage un déplacement de Caen à Grenoble.,"(29, 33)","(36, 44)"
Départ de Poitiers à Créteil.,"(10, 18)","(21, 28)"
Mon départ est prévu de Le Mans à destination de Vitry-sur-Seine.,"(24, 31)","(49, 64)"
Trajet initial de Montreuil en direction de Rouen.,"(18, 27)","(44, 49)"
Trajet initial de Créteil en direction de Besançon.,"(18, 25)","(42, 50)"
Promenade depuis Bordeaux vers Toulouse.,"(17, 25)","(31, 39)"
Escapade de Metz à Paris.,"(12, 16)","(19, 24)"
Je planifie de me déplacer de Tours vers Aix-en-Provence.,"(30, 35)","(41, 56)"
Mon départ est prévu de Amiens à destination de Le Mans.,"(24, 30)","(48, 55)"
Périples de Tours à Rouen.,"(12, 17)","(20, 25)"
Je compte quitter Lille pour Rennes.,"(18, 23)","(29, 35)"
Périples de Marseille à Nice.,"(12, 21)","(24, 28)"
Je prévois de voyager de Angers à Roubaix.,"(25, 31)","(34, 41)"
Je planifie de me déplacer de Angers vers Lille.,"(30, 36)","(42, 47)"
Course rapide de Lyon à Roubaix.,"(17, 21)","(24, 31)"
Je dois effectuer le trajet de Rouen à Nancy.,"(31, 36)","(39, 44)"
Aventure de Montreuil à Argenteuil.,"(12, 21)","(24, 34)"
Mon intention est de voyager de Lille à Toulouse.,"(32, 37)","(40, 48)"
Je souhaite me rendre de Reims à Saint-Étienne.,"(25, 30)","(33, 46)"
Randonnée de Vitry-sur-Seine jusqu'à Argenteuil.,"(13, 28)","(37, 47)"
Promenade depuis Rennes vers Créteil.,"(17, 23)","(29, 36)"
J'envisage un déplacement de Rennes à Limoges.,"(29, 35)","(38, 45)"
Je souhaite me rendre de Saint-Paul à Tours.,"(25, 35)","(38, 43)"
Il est prévu que je me rende de Lille à Dijon.,"(32, 37)","(40, 45)"
Mon départ est prévu de Marseille à destination de Besançon.,"(24, 33)","(51, 59)"
Je dois me déplacer de Annecy à Amiens.,"(23, 29)","(32, 38)"
Trajet initial de Nantes en direction de Vitry-sur-Seine.,"(18, 24)","(41, 56)"
Je projette de quitter Saint-Paul pour Besançon.,"(23, 33)","(39, 47)"
Périples de Tours à Avignon.,"(12, 17)","(20, 27)"
Je suis en route de Grenoble vers Marseille.,"(20, 28)","(34, 43)"
Escapade de Boulogne-Billancourt à Rennes.,"(12, 32)","(35, 41)"
Mon intention est de voyager de Angers à Strasbourg.,"(32, 38)","(41, 51)"
Odyssée depuis Montreuil en direction de Grenoble.,"(15, 24)","(41, 49)"
Mon voyage débute à Saint-Paul et se termine à Nancy.,"(20, 30)","(47, 52)"
Je quitte Toulon pour Aix-en-Provence.,"(10, 16)","(22, 37)"
Mon départ est prévu de Poitiers à destination de Tours.,"(24, 32)","(50, 55)"
Je vais de Vitry-sur-Seine à Limoges.,"(11, 26)","(29, 36)"
Promenade depuis Saint-Paul vers Nantes.,"(17, 27)","(33, 39)"
J'envisage un déplacement de Tours à Saint-Étienne.,"(29, 34)","(37, 50)"
Je vais de Strasbourg à Le Havre.,"(11, 21)","(24, 32)"
Je prévois de voyager de Annecy à Montreuil.,"(25, 31)","(34, 43)"
Je compte quitter Orléans pour Marseille.,"(18, 25)","(31, 40)"
Je vais partir de Créteil à destination de Toulon.,"(18, 25)","(43, 49)"
J'envisage un déplacement de Poitiers à Strasbourg.,"(29, 37)","(40, 50)"
Randonnée de Le Mans jusqu'à Argenteuil.,"(13, 20)","(29, 39)"
Je projette de quitter Amiens pour Brest.,"(23, 29)","(35, 40)"
Je souhaite me rendre de Dunkerque à Marseille.,"(25, 34)","(37, 46)"
Trajet initial de Le Havre en direction de Montreuil.,"(18, 26)","(43, 52)"
Parti de Amiens pour atteindre Vitry-sur-Seine.,"(9, 15)","(31, 46)"
Escapade de Orléans à Nantes.,"(12, 19)","(22, 28)"
Promenade depuis Metz vers Montreuil.,"(17, 21)","(27, 36)"
Je veux aller de Besançon à Grenoble.,"(17, 25)","(28, 36)"
Je dois effectuer le trajet de Nîmes à Nice.,"(31, 36)","(39, 43)"
Départ de Saint-Étienne pour un voyage direct à Paris.,"(10, 23)","(48, 53)"
Périples de Reims à Argenteuil.,"(12, 17)","(20, 30)"
Je vais partir de Nancy à destination de Angers.,"(18, 23)","(41, 47)"
Je dois me déplacer de Nice à Besançon.,"(23, 27)","(30, 38)"
Je suis en route de Bordeaux vers Lille.,"(20, 28)","(34, 39)"
Je compte quitter Saint-Denis pour Argenteuil.,"(18, 29)","(35, 45)"
Mon départ est prévu de Grenoble à destination de Besançon.,"(24, 32)","(50, 58)"
Mon itinéraire est de Orléans à Créteil.,"(22, 29)","(32, 39)"
Je suis en route de Saint-Étienne vers Toulon.,"(20, 33)","(39, 45)"
Départ de Rouen à Toulouse.,"(10, 15)","(18, 26)"
Mon départ est prévu de Besançon à destination de Strasbourg.,"(24, 32)","(50, 60)"
Odyssée depuis Saint-Denis en direction de Tours.,"(15, 26)","(43, 48)"
Je projette de quitter Avignon pour Metz.,"(23, 30)","(36, 40)"
Escapade de Mulhouse à Saint-Paul.,"(12, 20)","(23, 33)"
Je suis en route de Lille vers Dijon.,"(20, 25)","(31, 36)"
Je suis en route de Boulogne-Billancourt vers Besançon.,"(20, 40)","(46, 54)"
Départ de Annecy à Toulon.,"(10, 16)","(19, 25)"
Aventure de Nice à Bordeaux.,"(12, 16)","(19, 27)"
Départ de Montreuil à Montpellier.,"(10, 19)","(22, 33)"
Je dois effectuer le trajet de Nanterre à Nancy.,"(31, 39)","(42, 47)"
Voyage sans escale de Nice à Lyon.,"(22, 26)","(29, 33)"
Mon départ est prévu de Saint-Denis à destination de Saint-Étienne.,"(24, 35)","(53, 66)"
Je quitte Avignon pour Lyon.,"(10, 17)","(23, 27)"
Départ de Paris à Besançon.,"(10, 15)","(18, 26)"
Je compte quitter Tours pour Saint-Paul.,"(18, 23)","(29, 39)"
Je projette de quitter Toulon pour Amiens.,"(23, 29)","(35, 41)"
Départ de Avignon à Nantes.,"(10, 17)","(20, 26)"
Départ de Saint-Denis pour un voyage direct à Rouen.,"(10, 21)","(46, 51)"
Départ de Montreuil à Nouméa.,"(10, 19)","(22, 28)"
Randonnée de Reims jusqu'à Toulouse.,"(13, 18)","(27, 35)"
Je commence mon périple à Nantes pour finir à Bordeaux.,"(26, 32)","(46, 54)"
Je souhaite me rendre de Argenteuil à Saint-Étienne.,"(25, 35)","(38, 51)"
Je planifie de me déplacer de Toulon vers Nouméa.,"(30, 36)","(42, 48)"
Je dois effectuer le trajet de Nanterre à Strasbourg.,"(31, 39)","(42, 52)"
Trajet initial de Brest en direction de Limoges.,"(18, 23)","(40, 47)"
Je commence mon périple à Montpellier pour finir à Brest.,"(26, 37)","(51, 56)"
Course rapide de Nîmes à Créteil.,"(17, 22)","(25, 32)"
Il est prévu que je me rende de Rennes à Aix-en-Provence.,"(32, 38)","(41, 56)"
Je dois effectuer le trajet de Brest à Bordeaux.,"(31, 36)","(39, 47)"
Mon itinéraire est de Vitry-sur-Seine à Annecy.,"(22, 37)","(40, 46)"
Mon intention est de voyager de Bordeaux à Nantes.,"(32, 40)","(43, 49)"
Escapade de Boulogne-Billancourt à Orléans.,"(12, 32)","(35, 42)"
Mon départ est prévu de Reims à destination de Rennes.,"(24, 29)","(47, 53)"
Je pars de Nantes pour arriver à Le Havre.,"(11, 17)","(33, 41)"
Je m'apprête à partir de Montpellier à Rouen.,"(25, 36)","(39, 44)"
J'envisage un déplacement de Roubaix à Metz.,"(29, 36)","(39, 43)"
Course rapide de Paris à Rennes.,"(17, 22)","(25, 31)"
Je prévois de voyager de Le Mans à Nîmes.,"(25, 32)","(35, 40)"
Mon itinéraire est de Lille à Bordeaux.,"(22, 27)","(30, 38)"
Périples de Vitry-sur-Seine à Nouméa.,"(12, 27)","(30, 36)"
Je pars de Nanterre pour arriver à Nice.,"(11, 19)","(35, 39)"
Voyage sans escale de Boulogne-Billancourt à Argenteuil.,"(22, 42)","(45, 55)"
Je planifie de me déplacer de Tours vers Besançon.,"(30, 35)","(41, 49)"
Je planifie de me déplacer de Nanterre vers Angers.,"(30, 38)","(44, 50)"
Je pars de Rouen pour arriver à Nancy.,"(11, 16)","(32, 37)"
Escapade de Toulouse à Reims.,"(12, 20)","(23, 28)"
Il est prévu que je me rende de Grenoble à Lyon.,"(32, 40)","(43, 47)"
Promenade depuis Angers vers Montreuil.,"(17, 23)","(29, 38)"
Il est prévu que je me rende de Nancy à Boulogne-Billancourt.,"(32, 37)","(40, 60)"
Je planifie de me déplacer de Amiens vers Angers.,"(30, 36)","(42, 48)"
Je compte quitter Dunkerque pour Saint-Étienne.,"(18, 27)","(33, 46)"
Je vais partir de Dunkerque à destination de Boulogne-Billancourt.,"(18, 27)","(45, 65)"
Voyage sans escale de Besançon à Grenoble.,"(22, 30)","(33, 41)"
Mon voyage débute à Saint-Denis et se termine à Le Mans.,"(20, 31)","(48, 55)"
Je commence mon périple à Saint-Étienne pour finir à Caen.,"(26, 39)","(53, 57)"
Il est prévu que je me rende de Poitiers à Nice.,"(32, 40)","(43, 47)"
Je planifie un trajet de Nice à Roubaix.,"(25, 29)","(32, 39)"
Mon intention est de voyager de Besançon à Perpignan.,"(32, 40)","(43, 52)"
J'envisage un déplacement de Bordeaux à Perpignan.,"(29, 37)","(40, 49)"
Voyage sans escale de Grenoble à Nîmes.,"(22, 30)","(33, 38)"
Périples de Orléans à Nice.,"(12, 19)","(22, 26)"
J'envisage un déplacement de Rennes à Nîmes.,"(29, 35)","(38, 43)"
Je veux aller de Metz à Vitry-sur-Seine.,"(17, 21)","(24, 39)"
Je souhaite me rendre de Villeurbanne à Nice.,"(25, 37)","(40, 44)"
Je m'apprête à partir de Clermont-Ferrand à Dunkerque.,"(25, 41)","(44, 53)"
Odyssée depuis Lille en direction de Orléans.,"(15, 20)","(37, 44)"
Je suis en route de Saint-Étienne vers Tourcoing.,"(20, 33)","(39, 48)"
Départ de Grenoble à Le Havre.,"(10, 18)","(21, 29)"
Mon intention est de voyager de Tourcoing à Montpellier.,"(32, 41)","(44, 55)"
Odyssée depuis Boulogne-Billancourt en direction de Besançon.,"(15, 35)","(52, 60)"
Je compte quitter Dunkerque pour Marseille.,"(18, 27)","(33, 42)"
J'envisage un déplacement de Toulouse à Le Mans.,"(29, 37)","(40, 47)"
Départ de Limoges pour un voyage direct à Saint-Paul.,"(10, 17)","(42, 52)"
Je suis en route de Metz vers Poitiers.,"(20, 24)","(30, 38)"
Escapade de Lyon à Angers.,"(12, 16)","(19, 25)"
Odyssée depuis Metz en direction de Créteil.,"(15, 19)","(36, 43)"
Je prévois de voyager de Saint-Étienne à Annecy.,"(25, 38)","(41, 47)"
Je planifie un trajet de Limoges à Lyon.,"(25, 32)","(35, 39)"
Je planifie un trajet de Besançon à Strasbourg.,"(25, 33)","(36, 46)"
Odyssée depuis Créteil en direction de Brest.,"(15, 22)","(39, 44)"
Mon départ est prévu de Toulouse à destination de Saint-Paul.,"(24, 32)","(50, 60)"
Mon itinéraire est de Nîmes à Metz.,"(22, 27)","(30, 34)"
Je dois me déplacer de Nice à Toulon.,"(23, 27)","(30, 36)"
Je planifie de me déplacer de Marseille vers Saint-Étienne.,"(30, 39)","(45, 58)"
Je planifie un trajet de Vitry-sur-Seine à Orléans.,"(25, 40)","(43, 50)"
Escapade de Limoges à Reims.,"(12, 19)","(22, 27)"
Escapade de Montpellier à Nantes.,"(12, 23)","(26, 32)"
Départ de Orléans pour un voyage direct à Nantes.,"(10, 17)","(42, 48)"
Je pars de Saint-Étienne pour arriver à Dijon.,"(11, 24)","(40, 45)"
Mon itinéraire est de Le Havre à Rouen.,"(22, 30)","(33, 38)"
Aventure de Clermont-Ferrand à Poitiers.,"(12, 28)","(31, 39)"
Je dois effectuer le trajet de Saint-Denis à Grenoble.,"(31, 42)","(45, 53)"
Odyssée depuis Toulouse en direction de Montpellier.,"(15, 23)","(40, 51)"
Odyssée depuis Le Havre en direction de Nancy.,"(15, 23)","(40, 45)"
Aventure de Marseille à Rouen.,"(12, 21)","(24, 29)"
Je pars de Lyon pour arriver à Grenoble.,"(11, 15)","(31, 39)"
Escapade de Avignon à Toulouse.,"(12, 19)","(22, 30)"
Départ de Montreuil pour un voyage direct à Avignon.,"(10, 19)","(44, 51)"
Je quitte Tours pour Nice.,"(10, 15)","(21, 25)"
Parti de Besançon pour atteindre Nanterre.,"(9, 17)","(33, 41)"
Promenade depuis Perpignan vers Montreuil.,"(17, 26)","(32, 41)"
Je souhaite me rendre de Brest à Villeurbanne.,"(25, 30)","(33, 45)"
Je souhaite me rendre de Grenoble à Strasbourg.,"(25, 33)","(36, 46)"
Je dois effectuer le trajet de Toulon à Nanterre.,"(31, 37)","(40, 48)"
Je compte quitter Annecy pour Villeurbanne.,"(18, 24)","(30, 42)"
Je vais de Nouméa à Vitry-sur-Seine.,"(11, 17)","(20, 35)"
Promenade depuis Saint-Denis vers Annecy.,"(17, 28)","(34, 40)"
Je veux aller de Toulouse à Angers.,"(17, 25)","(28, 34)"
Je vais partir de Marseille à destination de Reims.,"(18, 27)","(45, 50)"
Randonnée de Nouméa jusqu'à Saint-Denis.,"(13, 19)","(28, 39)"
Je prévois de voyager de Toulouse à Nantes.,"(25, 33)","(36, 42)"
Je pars de Le Havre pour arriver à Nice.,"(11, 19)","(35, 39)"
Mon voyage débute à Poitiers et se termine à Lyon.,"(20, 28)","(45, 49)"
Voyage sans escale de Saint-Denis à Bordeaux.,"(22, 33)","(36, 44)"
Odyssée depuis Nice en direction de Villeurbanne.,"(15, 19)","(36, 48)"
Je planifie un trajet de Caen à Tours.,"(25, 29)","(32, 37)"
Je projette de quitter Boulogne-Billancourt pour Poitiers.,"(23, 43)","(49, 57)"
Départ de Montreuil à Dijon.,"(10, 19)","(22, 27)"
Parti de Avignon pour atteindre Le Mans.,"(9, 16)","(32, 39)"
Je dois me déplacer de Roubaix à Dunkerque.,"(23, 30)","(33, 42)"
Course rapide de Dunkerque à Strasbourg.,"(17, 26)","(29, 39)"
Randonnée de Annecy jusqu'à Reims.,"(13, 19)","(28, 33)"
Je m'apprête à partir de Tours à Caen.,"(25, 30)","(33, 37)"
Escapade de Toulouse à Reims.,"(12, 20)","(23, 28)"
Voyage sans escale de Nouméa à Roubaix.,"(22, 28)","(31, 38)"
Je suis en route de Aix-en-Provence vers Reims.,"(20, 35)","(41, 46)"
Je pars de Limoges pour arriver à Avignon.,"(11, 18)","(34, 41)"
Je planifie de me déplacer de Villeurbanne vers Vitry-sur-Seine.,"(30, 42)","(48, 63)"
Périples de Paris à Angers.,"(12, 17)","(20, 26)"
Parti de Marseille pour atteindre Rennes.,"(9, 18)","(34, 40)"
Périples de Saint-Paul à Lyon.,"(12, 22)","(25, 29)"
Je dois me déplacer de Le Havre à Strasbourg.,"(23, 31)","(34, 44)"
Je pars de Annecy pour arriver à Tourcoing.,"(11, 17)","(33, 42)"
Je quitte Lille pour Saint-Paul.,"(10, 15)","(21, 31)"
Trajet initial de Nice en direction de Mulhouse.,"(18, 22)","(39, 47)"
Je commence mon périple à Reims pour finir à Nantes.,"(26, 31)","(45, 51)"
Départ de Aix-en-Provence à Montpellier.,"(10, 25)","(28, 39)"
Mon itinéraire est de Aix-en-Provence à Orléans.,"(22, 37)","(40, 47)"
Périples de Strasbourg à Bordeaux.,"(12, 22)","(25, 33)"
Randonnée de Rouen jusqu'à Dunkerque.,"(13, 18)","(27, 36)"
Départ de Rennes pour un voyage direct à Nice.,"(10, 16)","(41, 45)"
Mon intention est de voyager de Nancy à Besançon.,"(32, 37)","(40, 48)"
Escapade de Grenoble à Tours.,"(12, 20)","(23, 28)"
Je compte quitter Strasbourg pour Montpellier.,"(18, 28)","(34, 45)"
Je suis en route de Besançon vers Annecy.,"(20, 28)","(34, 40)"
Je vais de Bordeaux à Limoges.,"(11, 19)","(22, 29)"
Randonnée de Perpignan jusqu'à Toulon.,"(13, 22)","(31, 37)"
Périples de Tourcoing à Montreuil.,"(12, 21)","(24, 33)"
Je veux aller de Argenteuil à Nîmes.,"(17, 27)","(30, 35)"
Mon voyage débute à Nantes et se termine à Dijon.,"(20, 26)","(43, 48)"
Je pars de Saint-Paul pour arriver à Saint-Denis.,"(11, 21)","(37, 48)"
Mon départ est prévu de Tours à destination de Nancy.,"(24, 29)","(47, 52)"
Mon intention est de voyager de Brest à Poitiers.,"(32, 37)","(40, 48)"
Mon voyage débute à Besançon et se termine à Rouen.,"(20, 28)","(45, 50)"
Odyssée depuis Villeurbanne en direction de Vitry-sur-Seine.,"(15, 27)","(44, 59)"
Je m'apprête à partir de Saint-Denis à Créteil.,"(25, 36)","(39, 46)"
Je planifie de me déplacer de Clermont-Ferrand vers Montreuil.,"(30, 46)","(52, 61)"
Trajet initial de Saint-Étienne en direction de Aix-en-Provence.,"(18, 31)","(48, 63)"
Mon itinéraire est de Créteil à Brest.,"(22, 29)","(32, 37)"
Escapade de Caen à Rennes.,"(12, 16)","(19, 25)"
Je quitte Rouen pour Marseille.,"(10, 15)","(21, 30)"
Odyssée depuis Saint-Étienne en direction de Rouen.,"(15, 28)","(45, 50)"
Je prévois de voyager de Limoges à Poitiers.,"(25, 32)","(35, 43)"
Je vais partir de Dijon à destination de Montpellier.,"(18, 23)","(41, 52)"
Je compte quitter Le Havre pour Saint-Denis.,"(18, 26)","(32, 43)"
Mon départ est prévu de Lyon à destination de Perpignan.,"(24, 28)","(46, 55)"
Mon intention est de voyager de Mulhouse à Tourcoing.,"(32, 40)","(43, 52)"
Je quitte Nouméa pour Perpignan.,"(10, 16)","(22, 31)"
Mon intention est de voyager de Clermont-Ferrand à Caen.,"(32, 48)","(51, 55)"
Mon départ est prévu de Orléans à destination de Vitry-sur-Seine.,"(24, 31)","(49, 64)"
Départ de Metz à Argenteuil.,"(10, 14)","(17, 27)"
Trajet initial de Nice en direction de Nancy.,"(18, 22)","(39, 44)"
Je veux aller de Nouméa à Montreuil.,"(17, 23)","(26, 35)"
Je m'apprête à partir de Grenoble à Tours.,"(25, 33)","(36, 41)"
Je vais de Rouen à Tourcoing.,"(11, 16)","(19, 28)"
Mon itinéraire est de Marseille à Villeurbanne.,"(22, 31)","(34, 46)"
Mon intention est de voyager de Metz à Grenoble.,"(32, 36)","(39, 47)"
Départ de Saint-Paul pour un voyage direct à Angers.,"(10, 20)","(45, 51)"
Aventure de Villeurbanne à Boulogne-Billancourt.,"(12, 24)","(27, 47)"
Je prévois de voyager de Nancy à Dijon.,"(25, 30)","(33, 38)"
Je commence mon périple à Nîmes pour finir à Mulhouse.,"(26, 31)","(45, 53)"
Je compte quitter Saint-Étienne pour Saint-Paul.,"(18, 31)","(37, 47)"
Promenade depuis Nancy vers Tourcoing.,"(17, 22)","(28, 37)"
Périples de Le Havre à Argenteuil.,"(12, 20)","(23, 33)"
Randonnée de Marseille jusqu'à Saint-Denis.,"(13, 22)","(31, 42)"
Je vais de Nanterre à Perpignan.,"(11, 19)","(22, 31)"
Trajet initial de Saint-Étienne en direction de Dijon.,"(18, 31)","(48, 53)"
Voyage sans escale de Toulouse à Lyon.,"(22, 30)","(33, 37)"
Périples de Le Mans à Dunkerque.,"(12, 19)","(22, 31)"
Promenade depuis Nouméa vers Lille.,"(17, 23)","(29, 34)"
Mon itinéraire est de Strasbourg à Roubaix.,"(22, 32)","(35, 42)"
Départ de Grenoble à Nouméa.,"(10, 18)","(21, 27)"
Je quitte Villeurbanne pour Montreuil.,"(10, 22)","(28, 37)"
Je quitte Montreuil pour Bordeaux.,"(10, 19)","(25, 33)"
Je vais partir de Nanterre à destination de Brest.,"(18, 26)","(44, 49)"
Aventure de Nanterre à Tours.,"(12, 20)","(23, 28)"
J'envisage un déplacement de Amiens à Tours.,"(29, 35)","(38, 43)"
Je dois me déplacer de Villeurbanne à Limoges.,"(23, 35)","(38, 45)"
Mon intention est de voyager de Bordeaux à Boulogne-Billancourt.,"(32, 40)","(43, 63)"
Promenade depuis Reims vers Lille.,"(17, 22)","(28, 33)"
Odyssée depuis Nouméa en direction de Le Mans.,"(15, 21)","(38, 45)"
Je vais partir de Metz à destination de Saint-Denis.,"(18, 22)","(40, 51)"
Je vais de Tourcoing à Nanterre.,"(11, 20)","(23, 31)"
Aventure de Poitiers à Roubaix.,"(12, 20)","(23, 30)"
J'envisage un déplacement de Villeurbanne à Grenoble.,"(29, 41)","(44, 52)"
Je vais de Nantes à Le Mans.,"(11, 17)","(20, 27)"
Je veux aller de Caen à Nîmes.,"(17, 21)","(24, 29)"
Je vais partir de Angers à destination de Limoges.,"(18, 24)","(42, 49)"
Odyssée depuis Aix-en-Provence en direction de Nantes.,"(15, 30)","(47, 53)"
Je planifie de me déplacer de Montreuil vers Créteil.,"(30, 39)","(45, 52)"
Il est prévu que je me rende de Metz à Le Mans.,"(32, 36)","(39, 46)"
Je quitte Vitry-sur-Seine pour Roubaix.,"(10, 25)","(31, 38)"
Promenade depuis Saint-Paul vers Tourcoing.,"(17, 27)","(33, 42)"
Escapade de Le Mans à Avignon.,"(12, 19)","(22, 29)"
Je veux aller de Strasbourg à Amiens.,"(17, 27)","(30, 36)"
Je suis en route de Toulon vers Metz.,"(20, 26)","(32, 36)"
Je planifie de me déplacer de Mulhouse vers Villeurbanne.,"(30, 38)","(44, 56)"
Je vais partir de Boulogne-Billancourt à destination de Mulhouse.,"(18, 38)","(56, 64)"
Je dois me déplacer de Poitiers à Dijon.,"(23, 31)","(34, 39)"
Je compte quitter Clermont-Ferrand pour Créteil.,"(18, 34)","(40, 47)"
Mon itinéraire est de Limoges à Grenoble.,"(22, 29)","(32, 40)"
Je projette de quitter Le Mans pour Dijon.,"(23, 30)","(36, 41)"
Mon intention est de voyager de Amiens à Lille.,"(32, 38)","(41, 46)"
Je projette de quitter Saint-Denis pour Boulogne-Billancourt.,"(23, 34)","(40, 60)"
Départ de Perpignan pour un voyage direct à Poitiers.,"(10, 19)","(44, 52)"
Je planifie un trajet de Tourcoing à Metz.,"(25, 34)","(37, 41)"
Je compte quitter Dijon pour Nantes.,"(18, 23)","(29, 35)"
Je planifie de me déplacer de Villeurbanne vers Besançon.,"(30, 42)","(48, 56)"
Je commence mon périple à Rennes pour finir à Limoges.,"(26, 32)","(46, 53)"
Mon voyage débute à Besançon et se termine à Roubaix.,"(20, 28)","(45, 52)"
Odyssée depuis Vitry-sur-Seine en direction de Nantes.,"(15, 30)","(47, 53)"
Je planifie de me déplacer de Toulouse vers Nancy.,"(30, 38)","(44, 49)"
Promenade depuis Toulouse vers Avignon.,"(17, 25)","(31, 38)"
Course rapide de Lyon à Annecy.,"(17, 21)","(24, 30)"
Je dois me déplacer de Nouméa à Nice.,"(23, 29)","(32, 36)"
